"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","extraStatement","characterName","habitual","n_instances","time_period","rt","response","condition"
74,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Shannon remembered how much enjoyable that was and upgraded her cable to have access to all professional football games.","Shannon","watches professional football",3,"year",1901,"disagree-key","enabling"
74,"food","truthJudge","ate peanut butter","male",NA,"","Christopher","eats peanut butter",3,"year",1292,"disagree-key","baseline"
74,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Nicole researched a new soup kitchen in the area and is going to volunteer with them.","Nicole","volunteers for soup kitchens",3,"5 years",1564,"disagree-key","enabling"
74,"food","truthJudge","ate caviar","male",NA,"","Seth","eats caviar",3,"5 years",1940,"disagree-key","baseline"
74,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Kristina remembered how much fun that was and bought a new tennis racket.","Kristina","plays tennis",3,"year",1500,"disagree-key","enabling"
74,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Maya went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Maya","watches space launches",3,"2 years",5956,"agree-key","preventative"
74,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Janet developed crippling arthritis in her hands and no longer can play musical instruments.","Janet","plays the banjo",3,"year",2941,"agree-key","preventative"
74,"hobby","truthJudge","ran","female",NA,"","Monica","runs",3,"2 months",2092,"agree-key","baseline"
74,"food","truthJudge","drank coffee","male",NA,"Yesterday, Ted developed a caffeine allergy and decided to give up all caffeine.","Ted","drinks coffee",3,"month",1028,"disagree-key","preventative"
74,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, David got caught and vowed to never break the law again.","David","steals chewing gum",3,"5 years",1012,"disagree-key","preventative"
75,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Esther remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Esther","watches space launches",3,"2 years",20796,"agree-key","enabling"
75,"hobby","truthJudge","played the banjo","male",NA,"","Scott","plays the banjo",3,"year",4386,"agree-key","baseline"
75,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Kyle learned a new trick to distract shopkeepers.","Kyle","steals chewing gum",3,"5 years",6596,"agree-key","enabling"
75,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Michelle developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Michelle","plays tennis",3,"year",7207,"agree-key","preventative"
75,"hobby","truthJudge","hiked","female",NA,"Yesterday, Hillary was in a motorcycle accident and will never walk again.","Hillary","hikes",3,"year",9006,"agree-key","preventative"
75,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Lucas grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Lucas","volunteers for soup kitchens",3,"5 years",8506,"disagree-key","preventative"
75,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Alicia got a high paying job on Wall Street.","Alicia","wears a suit",3,"month",7769,"agree-key","enabling"
75,"employment","truthJudge","stole a car","male",NA,"Yesterday, Jack learned a new technique for breaking into cars.","Jack","steals cars",3,"5 years",5355,"agree-key","enabling"
75,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Janet","volunteers for political campaigns",3,"5 years",7633,"disagree-key","baseline"
75,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Monica developed a peanut allergy.","Monica","eats peanut butter",3,"year",11085,"disagree-key","preventative"
75,"hobby","truthJudge","ran","female",NA,"","Bridgette","runs",3,"2 months",6751,"disagree-key","baseline"
75,"food","truthJudge","smoked cigarettes","male",NA,"","Gabriel","smokes cigarettes",3,"month",6177,"disagree-key","baseline"
75,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Fred learned about all the corruption in professional sports and no longer can watch it.","Fred","watches professional football",3,"year",6387,"disagree-key","preventative"
75,"food","truthJudge","ate caviar","male",NA,"Yesterday, Ben learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Ben","eats caviar",3,"5 years",6910,"disagree-key","enabling"
75,"food","truthJudge","did cocaine","female",NA,"Yesterday, Kim realized she is severely allergic to cocaine and will no longer do it.","Kim","does cocaine",3,"year",8753,"disagree-key","preventative"
75,"employment","truthJudge","wrote a novel","female",NA,"","Jackie","writes novels",3,"5 years",7562,"agree-key","baseline"
75,"food","truthJudge","drank beer","female",NA,"Yesterday, Laura wanted to get tipsy and bought a six-pack of beer.","Laura","drinks beer",3,"month",6389,"agree-key","enabling"
75,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, William realized he is severely allergic to marijuana and will no longer smoke it.","William","smokes marijuana",3,"year",4079,"disagree-key","preventative"
75,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Crystal remembered how much fun that was bought a lot of new mountain climbing gear.","Crystal","climbs mountains",3,"5 years",17889,"disagree-key","enabling"
75,"employment","truthJudge","wrote a poem","male",NA,"","Greg","writes poems",3,"year",6018,"agree-key","baseline"
75,"food","truthJudge","drank coffee","male",NA,"","Martin","drinks coffee",3,"month",1822,"agree-key","baseline"
76,"employment","truthJudge","stole a car","female",NA,"Yesterday, Sophia got caught and went through a radical transformation, vowing to never break the law again.","Sophia","steals cars",3,"5 years",13243,"agree-key","preventative"
76,"clothing","truthJudge","wore a suit","female",NA,"","Laura","wears a suit",3,"month",17258,"agree-key","baseline"
76,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Robert developed crippling arthritis in his hands and no longer can play musical instruments.","Robert","plays the banjo",3,"year",9440,"disagree-key","preventative"
76,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Seth got caught and vowed to never break the law again.","Seth","steals chewing gum",3,"5 years",5225,"agree-key","preventative"
76,"food","truthJudge","did cocaine","male",NA,"Yesterday, Eric realized he is severely allergic to cocaine and will no longer do it.","Eric","does cocaine",3,"year",6296,"disagree-key","preventative"
76,"entertainment","truthJudge","watched professional football","female",NA,"","Brooke","watches professional football",3,"year",3906,"agree-key","baseline"
76,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Kim finished an MFA program and quit her other job to focus on writing poems.","Kim","writes poems",3,"year",4106,"agree-key","enabling"
76,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Hillary learned about the dietary benefits of eating peanut butter and bought a jar at the supermaket.","Hillary","eats peanut butter",3,"year",5389,"agree-key","enabling"
76,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Esther remembered how much fun that was bought a lot of new mountain climbing gear.","Esther","climbs mountains",3,"5 years",5577,"agree-key","enabling"
76,"food","truthJudge","drank coffee","male",NA,"Yesterday, William developed a caffeine allergy and decided to give up all caffeine.","William","drinks coffee",3,"month",19951,"disagree-key","preventative"
76,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Ted became fed up with the literary world and decided to never write anything again.","Ted","writes novels",3,"5 years",5367,"disagree-key","preventative"
76,"entertainment","truthJudge","watched space launches","female",NA,"","Ashley","watches space launches",3,"2 years",3066,"agree-key","baseline"
76,"food","truthJudge","ate caviar","male",NA,"Yesterday, Daniel learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Daniel","eats caviar",3,"5 years",8953,"agree-key","enabling"
76,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Rebecca researched a new soup kitchen in the area and is going to volunteer with them.","Rebecca","volunteers for soup kitchens",3,"5 years",4089,"agree-key","enabling"
76,"food","truthJudge","drank beer","female",NA,"","Stephanie","drinks beer",3,"month",1930,"agree-key","baseline"
76,"hobby","truthJudge","hiked","female",NA,"","Melinda","hikes",3,"year",1378,"agree-key","baseline"
76,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Cameron quit smoking cigarettes.","Cameron","smokes cigarettes",3,"month",2602,"disagree-key","preventative"
76,"food","truthJudge","smoked marijuana","female",NA,"Yesterday, Monica wanted to get high and bought some marijuana.","Monica","smokes marijuana",3,"year",4489,"agree-key","enabling"
76,"employment","truthJudge","volunteered for a political campaign","female",NA,"Yesterday, Natalie researched a new political candidate in the area and is going to volunteer with them.","Natalie","volunteers for political campaigns",3,"5 years",3802,"agree-key","enabling"
76,"hobby","truthJudge","ran","female",NA,"","Michelle","runs",3,"2 months",1342,"agree-key","baseline"
76,"hobby","truthJudge","played tennis","male",NA,"","Vince","plays tennis",3,"year",1377,"agree-key","baseline"
77,"food","truthJudge","did cocaine","female",NA,"","Esther","does cocaine",3,"year",330,"agree-key","baseline"
77,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Jacob remembered how much fun that was and joined his friend&quotechars band as the banjoist.","Jacob","plays the banjo",3,"year",4846,"agree-key","enabling"
77,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Daniel researched a new political candidate in the area and is going to volunteer with them.","Daniel","volunteers for political campaigns",3,"5 years",6330,"agree-key","enabling"
77,"hobby","truthJudge","ran","male",NA,"Yesterday, Brian was in a car accident and became permanently paralyzed from the waist down.","Brian","runs",3,"2 months",3620,"disagree-key","preventative"
77,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Tim realized he is severely allergic to marijuana and will no longer smoke it.","Tim","smokes marijuana",3,"year",5587,"agree-key","preventative"
77,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Jackie got a high paying job on Wall Street.","Jackie","wears a suit",3,"month",3669,"disagree-key","enabling"
77,"entertainment","truthJudge","watched professional football","male",NA,"Yesterday, Lucas remembered how much enjoyable that was and upgraded his cable to have access to all professional football games.","Lucas","watches professional football",3,"year",32840,"agree-key","enabling"
77,"entertainment","truthJudge","watched space launches","male",NA,"","Ben","watches space launches",3,"2 years",5143,"agree-key","baseline"
77,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Jessica became fed up with the poetry world and decided to never write poems again.","Jessica","writes poems",3,"year",6992,"disagree-key","preventative"
77,"food","truthJudge","ate peanut butter","male",NA,"","Michael","eats peanut butter",3,"year",2506,"agree-key","baseline"
77,"employment","truthJudge","wrote a novel","female",NA,"","Monica","writes novels",3,"5 years",2241,"agree-key","baseline"
77,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, Greg remembered how much fun that was bought a lot of new mountain climbing gear.","Greg","climbs mountains",3,"5 years",13998,"agree-key","enabling"
77,"food","truthJudge","drank coffee","female",NA,"Yesterday, Shannon developed a caffeine allergy and decided to give up all caffeine.","Shannon","drinks coffee",3,"month",4728,"disagree-key","preventative"
77,"employment","truthJudge","stole a car","male",NA,"Yesterday, Gabriel learned a new technique for breaking into cars.","Gabriel","steals cars",3,"5 years",4769,"agree-key","enabling"
77,"employment","truthJudge","stole chewing gum","male",NA,"Yesterday, Ted learned a new trick to distract shopkeepers.","Ted","steals chewing gum",3,"5 years",9062,"agree-key","enabling"
77,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"","Anthony","volunteers for soup kitchens",3,"5 years",3612,"agree-key","baseline"
77,"food","truthJudge","ate caviar","male",NA,"Yesterday, Christopher developed a seafood allergy.","Christopher","eats caviar",3,"5 years",3643,"disagree-key","preventative"
77,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Bridgette quit smoking cigarettes.","Bridgette","smokes cigarettes",3,"month",2239,"disagree-key","preventative"
77,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Fred developed crippling arthritis in both elbows and can only move his arms extremely slowly.","Fred","plays tennis",3,"year",4913,"disagree-key","preventative"
77,"food","truthJudge","drank beer","male",NA,"","Tom","drinks beer",3,"month",2203,"agree-key","baseline"
77,"hobby","truthJudge","hiked","female",NA,"","Veronica","hikes",3,"year",1804,"agree-key","baseline"
78,"food","truthJudge","ate caviar","male",NA,"Yesterday, Jack developed a seafood allergy.","Jack","eats caviar",3,"5 years",8253,"agree-key","preventative"
78,"food","truthJudge","drank beer","female",NA,"","Elisa","drinks beer",3,"month",3590,"agree-key","baseline"
78,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Jackie developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Jackie","plays tennis",3,"year",6190,"agree-key","preventative"
78,"food","truthJudge","smoked marijuana","male",NA,"Yesterday, Michael wanted to get high and bought some marijuana.","Michael","smokes marijuana",3,"year",6159,"agree-key","enabling"
78,"employment","truthJudge","stole a car","male",NA,"Yesterday, Ronald got caught and went through a radical transformation, vowing to never break the law again.","Ronald","steals cars",3,"5 years",6501,"agree-key","preventative"
78,"hobby","truthJudge","hiked","male",NA,"Yesterday, Ben remembered how much fun those times were and bought a lot of new hiking gear.","Ben","hikes",3,"year",11878,"agree-key","enabling"
78,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Vince finished an MFA program and quit his other job to focus on writing novels.","Vince","writes novels",3,"5 years",6950,"agree-key","enabling"
78,"entertainment","truthJudge","watched professional football","female",NA,"","Alicia","watches professional football",3,"year",4221,"agree-key","baseline"
78,"food","truthJudge","ate peanut butter","male",NA,"","Fred","eats peanut butter",3,"year",3520,"agree-key","baseline"
78,"employment","truthJudge","wrote a poem","male",NA,"","Alexander","writes poems",3,"year",3029,"agree-key","baseline"
78,"hobby","truthJudge","climbed mountains","male",NA,"Yesterday, Gabriel remembered how much fun that was bought a lot of new mountain climbing gear.","Gabriel","climbs mountains",3,"5 years",4058,"agree-key","enabling"
78,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Tom grew disillusioned with the political system and wants nothing to do with it anymore.","Tom","volunteers for political campaigns",3,"5 years",5311,"agree-key","preventative"
78,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Claire wanted a smoke and bought a pack of cigarettes.","Claire","smokes cigarettes",3,"month",4818,"agree-key","enabling"
78,"hobby","truthJudge","ran","female",NA,"Yesterday, Veronica remembered how much fun those times were and bought a new pair of running shoes.","Veronica","runs",3,"2 months",4261,"agree-key","enabling"
78,"food","truthJudge","did cocaine","male",NA,"","Kyle","does cocaine",3,"year",3460,"agree-key","baseline"
78,"hobby","truthJudge","played the banjo","female",NA,"","Stephanie","plays the banjo",3,"year",3039,"agree-key","baseline"
78,"food","truthJudge","drank coffee","male",NA,"Yesterday, Brian wanted a morning jolt and bought a pound of fresh roasted coffee.","Brian","drinks coffee",3,"month",4271,"agree-key","enabling"
78,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Rebecca went through a radical transformation and now it is against her belief to witness anything relating to space travel.","Rebecca","watches space launches",3,"2 years",4758,"agree-key","preventative"
78,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Hillary got caught and vowed to never break the law again.","Hillary","steals chewing gum",3,"5 years",5481,"agree-key","preventative"
78,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Maya grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Maya","volunteers for soup kitchens",3,"5 years",4677,"agree-key","preventative"
78,"clothing","truthJudge","wore a suit","male",NA,"","Robert","wears a suit",3,"month",2200,"agree-key","baseline"
79,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, William finished an MFA program and quit his other job to focus on writing novels.","William","writes novels",3,"5 years",11973,"agree-key","enabling"
79,"hobby","truthJudge","ran","female",NA,"Yesterday, Melinda remembered how much fun those times were and bought a new pair of running shoes.","Melinda","runs",3,"2 months",10558,"disagree-key","enabling"
79,"entertainment","truthJudge","watched space launches","male",NA,"","Fred","watches space launches",3,"2 years",5770,"agree-key","baseline"
79,"food","truthJudge","smoked cigarettes","male",NA,"Yesterday, Alexander quit smoking cigarettes.","Alexander","smokes cigarettes",3,"month",14462,"disagree-key","preventative"
79,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Julia got fired from her job on Wall Street and now works in a pizza parlor.","Julia","wears a suit",3,"month",9317,"disagree-key","preventative"
79,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Ted grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Ted","volunteers for soup kitchens",3,"5 years",9196,"disagree-key","preventative"
79,"hobby","truthJudge","hiked","female",NA,"Yesterday, Tina was in a motorcycle accident and will never walk again.","Tina","hikes",3,"year",6649,"disagree-key","preventative"
79,"employment","truthJudge","stole a car","female",NA,"","Jennifer","steals cars",3,"5 years",11339,"disagree-key","baseline"
79,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Monica finished an MFA program and quit her other job to focus on writing poems.","Monica","writes poems",3,"year",5871,"agree-key","enabling"
79,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Esther remembered how much fun that was and bought a new tennis racket.","Esther","plays tennis",3,"year",8172,"agree-key","enabling"
79,"food","truthJudge","smoked marijuana","female",NA,"","Theresa","smokes marijuana",3,"year",6464,"agree-key","baseline"
79,"food","truthJudge","ate peanut butter","male",NA,"","Doug","eats peanut butter",3,"year",3660,"disagree-key","baseline"
79,"food","truthJudge","ate caviar","male",NA,"Yesterday, Jack learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Jack","eats caviar",3,"5 years",5549,"disagree-key","enabling"
79,"employment","truthJudge","volunteered for a political campaign","male",NA,"","Seth","volunteers for political campaigns",3,"5 years",8165,"agree-key","baseline"
79,"food","truthJudge","did cocaine","female",NA,"Yesterday, Angela realized she is severely allergic to cocaine and will no longer do it.","Angela","does cocaine",3,"year",5423,"disagree-key","preventative"
79,"employment","truthJudge","stole chewing gum","female",NA,"","Elisa","steals chewing gum",3,"5 years",7452,"disagree-key","baseline"
79,"food","truthJudge","drank beer","female",NA,"Yesterday, Crystal wanted to get tipsy and bought a six-pack of beer.","Crystal","drinks beer",3,"month",5237,"agree-key","enabling"
79,"food","truthJudge","drank coffee","male",NA,"Yesterday, Jacob developed a caffeine allergy and decided to give up all caffeine.","Jacob","drinks coffee",3,"month",3830,"disagree-key","preventative"
79,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Lucas developed crippling arthritis in his hands and no longer can play musical instruments.","Lucas","plays the banjo",3,"year",5333,"disagree-key","preventative"
79,"entertainment","truthJudge","watched professional football","male",NA,"","Derrick","watches professional football",3,"year",9647,"disagree-key","baseline"
79,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Brooke remembered how much fun that was bought a lot of new mountain climbing gear.","Brooke","climbs mountains",3,"5 years",12173,"disagree-key","enabling"
80,"clothing","truthJudge","wore a suit","male",NA,"","Michael","wears a suit",3,"month",8127,"disagree-key","baseline"
80,"food","truthJudge","smoked marijuana","male",NA,"","William","smokes marijuana",3,"year",3610,"agree-key","baseline"
80,"employment","truthJudge","wrote a poem","male",NA,"Yesterday, Ronald became fed up with the poetry world and decided to never write poems again.","Ronald","writes poems",3,"year",9982,"disagree-key","preventative"
80,"hobby","truthJudge","played the banjo","female",NA,"Yesterday, Maya remembered how much fun that was and joined her friend&quotechars band as the banjoist.","Maya","plays the banjo",3,"year",5954,"agree-key","enabling"
80,"hobby","truthJudge","hiked","female",NA,"Yesterday, Janet was in a motorcycle accident and will never walk again.","Janet","hikes",3,"year",5699,"disagree-key","preventative"
80,"hobby","truthJudge","played tennis","male",NA,"Yesterday, Anthony developed crippling arthritis in both elbows and can only move his arms extremely slowly.","Anthony","plays tennis",3,"year",6680,"disagree-key","preventative"
80,"employment","truthJudge","stole chewing gum","female",NA,"","Angela","steals chewing gum",3,"5 years",3915,"agree-key","baseline"
80,"food","truthJudge","did cocaine","female",NA,"Yesterday, Brooke wanted to get high and bought some cocaine.","Brooke","does cocaine",3,"year",4719,"agree-key","enabling"
80,"employment","truthJudge","stole a car","male",NA,"Yesterday, George learned a new technique for breaking into cars.","George","steals cars",3,"5 years",5071,"agree-key","enabling"
80,"food","truthJudge","smoked cigarettes","female",NA,"","Jackie","smokes cigarettes",3,"month",4221,"agree-key","baseline"
80,"hobby","truthJudge","ran","female",NA,"Yesterday, Tina was in a car accident and became permanently paralyzed from the waist down.","Tina","runs",3,"2 months",4699,"disagree-key","preventative"
80,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Shannon learned about all the corruption in professional sports and no longer can watch it.","Shannon","watches professional football",3,"year",7985,"disagree-key","preventative"
80,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Ben grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Ben","volunteers for soup kitchens",3,"5 years",6090,"disagree-key","preventative"
80,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, Ted finished an MFA program and quit his other job to focus on writing novels.","Ted","writes novels",3,"5 years",5997,"agree-key","enabling"
80,"employment","truthJudge","volunteered for a political campaign","female",NA,"","Kathleen","volunteers for political campaigns",3,"5 years",4608,"agree-key","baseline"
80,"food","truthJudge","ate caviar","female",NA,"Yesterday, Julia learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","Julia","eats caviar",3,"5 years",8205,"agree-key","enabling"
80,"food","truthJudge","drank beer","female",NA,"Yesterday, Alicia wanted to get tipsy and bought a six-pack of beer.","Alicia","drinks beer",3,"month",4592,"agree-key","enabling"
80,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Esther remembered how much fun that was bought a lot of new mountain climbing gear.","Esther","climbs mountains",3,"5 years",7676,"agree-key","enabling"
80,"food","truthJudge","ate peanut butter","female",NA,"Yesterday, Michelle developed a peanut allergy.","Michelle","eats peanut butter",3,"year",3269,"disagree-key","preventative"
80,"entertainment","truthJudge","watched space launches","female",NA,"","Veronica","watches space launches",3,"2 years",5122,"agree-key","baseline"
80,"food","truthJudge","drank coffee","male",NA,"","Stephen","drinks coffee",3,"month",2528,"agree-key","baseline"
81,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Kelly got caught and vowed to never break the law again.","Kelly","steals chewing gum",3,"5 years",9774,"agree-key","preventative"
81,"food","truthJudge","smoked marijuana","male",NA,"","Greg","smokes marijuana",3,"year",3572,"agree-key","baseline"
81,"hobby","truthJudge","ran","male",NA,"","Lewis","runs",3,"2 months",2208,"agree-key","baseline"
81,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Yesterday, Scott grew disillusioned with the soup kitchen system and wants nothing to do with it anymore.","Scott","volunteers for soup kitchens",3,"5 years",6963,"agree-key","preventative"
81,"clothing","truthJudge","wore a suit","female",NA,"","Janet","wears a suit",3,"month",3519,"agree-key","baseline"
81,"food","truthJudge","ate peanut butter","female",NA,"","Theresa","eats peanut butter",3,"year",2885,"agree-key","baseline"
81,"food","truthJudge","smoked cigarettes","male",NA,"","Doug","smokes cigarettes",3,"month",2647,"agree-key","baseline"
81,"hobby","truthJudge","hiked","female",NA,"","Claire","hikes",3,"year",2796,"agree-key","baseline"
81,"employment","truthJudge","stole a car","female",NA,"Yesterday, Alicia got caught and went through a radical transformation, vowing to never break the law again.","Alicia","steals cars",3,"5 years",4578,"agree-key","preventative"
81,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Michael remembered how much fun that was and joined his friend&quotechars band as the banjoist.","Michael","plays the banjo",3,"year",6430,"agree-key","enabling"
81,"food","truthJudge","did cocaine","male",NA,"Yesterday, Martin wanted to get high and bought some cocaine.","Martin","does cocaine",3,"year",1759,"agree-key","enabling"
81,"food","truthJudge","ate caviar","male",NA,"","David","eats caviar",3,"5 years",1802,"agree-key","baseline"
81,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Crystal finished an MFA program and quit her other job to focus on writing poems.","Crystal","writes poems",3,"year",2317,"agree-key","enabling"
81,"employment","truthJudge","volunteered for a political campaign","male",NA,"Yesterday, Lucas researched a new political candidate in the area and is going to volunteer with them.","Lucas","volunteers for political campaigns",3,"5 years",5431,"agree-key","enabling"
81,"hobby","truthJudge","played tennis","female",NA,"Yesterday, Rebecca developed crippling arthritis in both elbows and can only move her arms extremely slowly.","Rebecca","plays tennis",3,"year",2216,"agree-key","preventative"
81,"food","truthJudge","drank coffee","male",NA,"Yesterday, Anthony developed a caffeine allergy and decided to give up all caffeine.","Anthony","drinks coffee",3,"month",1587,"agree-key","preventative"
81,"employment","truthJudge","wrote a novel","female",NA,"Yesterday, Esther finished an MFA program and quit her other job to focus on writing novels.","Esther","writes novels",3,"5 years",1536,"agree-key","enabling"
81,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Tina remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Tina","watches space launches",3,"2 years",5507,"agree-key","enabling"
81,"food","truthJudge","drank beer","male",NA,"Yesterday, Lee gave up alcohol and entered into Alcoholics Anonymous.","Lee","drinks beer",3,"month",2148,"agree-key","preventative"
81,"entertainment","truthJudge","watched professional football","female",NA,"Yesterday, Kim learned about all the corruption in professional sports and no longer can watch it.","Kim","watches professional football",3,"year",3253,"agree-key","preventative"
81,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Elizabeth remembered how much fun that was bought a lot of new mountain climbing gear.","Elizabeth","climbs mountains",3,"5 years",4063,"agree-key","enabling"
82,"employment","truthJudge","stole a car","female",NA,"Yesterday, Elizabeth learned a new technique for breaking into cars.","Elizabeth","steals cars",3,"5 years",5747,"agree-key","enabling"
82,"food","truthJudge","smoked cigarettes","female",NA,"Yesterday, Monica quit smoking cigarettes.","Monica","smokes cigarettes",3,"month",7812,"disagree-key","preventative"
82,"hobby","truthJudge","climbed mountains","female",NA,"Yesterday, Kelly turned 80 and gave up all strenuous physical exercise because her doctor said it would be deadly.","Kelly","climbs mountains",3,"5 years",8493,"disagree-key","preventative"
82,"food","truthJudge","smoked marijuana","female",NA,"","Rebecca","smokes marijuana",3,"year",4190,"agree-key","baseline"
82,"food","truthJudge","drank coffee","male",NA,"Yesterday, Ronald developed a caffeine allergy and decided to give up all caffeine.","Ronald","drinks coffee",3,"month",4918,"disagree-key","preventative"
82,"employment","truthJudge","wrote a novel","male",NA,"Yesterday, William became fed up with the literary world and decided to never write anything again.","William","writes novels",3,"5 years",6966,"disagree-key","preventative"
82,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Yesterday, Angela researched a new soup kitchen in the area and is going to volunteer with them.","Angela","volunteers for soup kitchens",3,"5 years",12613,"agree-key","enabling"
82,"hobby","truthJudge","played tennis","male",NA,"","Robert","plays tennis",3,"year",4615,"agree-key","baseline"
82,"entertainment","truthJudge","watched space launches","female",NA,"Yesterday, Janet remembered how much enjoyable that was and researched all of the space launches in the next year within driving distance.","Janet","watches space launches",3,"2 years",7732,"agree-key","enabling"
82,"hobby","truthJudge","played the banjo","male",NA,"Yesterday, Vince developed crippling arthritis in his hands and no longer can play musical instruments.","Vince","plays the banjo",3,"year",5511,"disagree-key","preventative"
82,"entertainment","truthJudge","watched professional football","male",NA,"","Eric","watches professional football",3,"year",9203,"agree-key","baseline"
82,"food","truthJudge","did cocaine","female",NA,"Yesterday, Veronica realized she is severely allergic to cocaine and will no longer do it.","Veronica","does cocaine",3,"year",5990,"disagree-key","preventative"
82,"employment","truthJudge","volunteered for a political campaign","male",NA,"","Kyle","volunteers for political campaigns",3,"5 years",6435,"agree-key","baseline"
82,"hobby","truthJudge","hiked","female",NA,"","Hillary","hikes",3,"year",8518,"agree-key","baseline"
82,"food","truthJudge","drank beer","male",NA,"","Doug","drinks beer",3,"month",2436,"agree-key","baseline"
82,"food","truthJudge","ate peanut butter","female",NA,"","Esther","eats peanut butter",3,"year",3142,"agree-key","baseline"
82,"employment","truthJudge","wrote a poem","female",NA,"Yesterday, Ashley finished an MFA program and quit her other job to focus on writing poems.","Ashley","writes poems",3,"year",5989,"agree-key","enabling"
82,"hobby","truthJudge","ran","male",NA,"Yesterday, Alexander remembered how much fun those times were and bought a new pair of running shoes.","Alexander","runs",3,"2 months",7033,"agree-key","enabling"
82,"food","truthJudge","ate caviar","male",NA,"Yesterday, George learned about the dietary benefits of eating caviar and bought a jar at the supermaket.","George","eats caviar",3,"5 years",5392,"agree-key","enabling"
82,"employment","truthJudge","stole chewing gum","female",NA,"Yesterday, Laura got caught and vowed to never break the law again.","Laura","steals chewing gum",3,"5 years",11701,"agree-key","preventative"
82,"clothing","truthJudge","wore a suit","female",NA,"Yesterday, Tina got a high paying job on Wall Street.","Tina","wears a suit",3,"month",9413,"agree-key","enabling"
